Order_ID,Date,Item_Name,Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg
1,2025-05-17,Sneakers,Clothing,0.82,1.41,28,21,12,5,False,Air,1893,Kraft Paper Mailer,1.56,6.673
2,2025-09-22,Smartphone,Electronics,0.29,0.0,14,7,0,9,True,Air,2141,Mushroom Pkg (Mycelium),1.92,1.552
3,2025-11-12,Office Chair,Furniture,12.26,38.06,60,61,52,6,False,Road,1491,Wood Crate,16.42,28.374
4,2025-01-30,Office Chair,Furniture,11.56,38.27,65,64,46,5,False,Road,530,Wood Crate,16.31,10.142
5,2025-09-06,T-Shirt,Clothing,0.25,0.08,22,18,1,1,False,Air,1587,Kraft Paper Mailer,0.3,0.992
6,2025-04-27,Sofa (Sectional),Furniture,51.07,304.08,213,83,86,7,False,Road,1910,Wood Crate,123.03,290.396
7,2025-11-02,T-Shirt,Clothing,0.19,0.2,24,21,2,1,False,Air,1179,Kraft Paper Mailer,0.28,0.59
8,2025-05-22,Ceramic Vase,Home Decor,1.02,1.14,14,14,29,9,False,Air,1191,Mushroom Pkg (Mycelium),2.26,3.394
9,2025-03-07,Ceramic Vase,Home Decor,2.98,1.25,15,13,32,10,False,Road,403,Mushroom Pkg (Mycelium),3.19,0.6
10,2025-12-09,Smartphone,Electronics,0.39,0.0,14,7,0,8,True,Road,339,Mushroom Pkg (Mycelium),1.76,0.066
11,2025-11-14,Office Chair,Furniture,10.2,33.08,62,58,46,5,False,Road,2959,Wood Crate,14.23,48.942
12,2025-08-25,Shampoo,Beauty,0.67,0.2,18,7,8,3,True,Air,917,PLA Bioplastic,0.87,1.536
13,2025-05-09,Office Chair,Furniture,10.4,37.3,64,62,47,4,False,Road,1838,Wood Crate,15.72,34.279
14,2025-02-02,Smart Watch,Electronics,0.12,0.0,5,4,1,5,True,Air,2936,Honeycomb Paper,1.05,0.881
15,2025-05-31,55-Inch TV,Electronics,18.55,8.47,113,75,5,10,True,Road,1956,Mushroom Pkg (Mycelium),9.42,18.142
16,2025-11-15,Laptop,Electronics,1.64,0.22,31,18,2,9,True,Road,506,Mushroom Pkg (Mycelium),2.46,0.415
17,2025-01-04,Glass Table,Furniture,17.2,6.2,105,59,5,9,False,Road,1268,Mushroom Pkg (Mycelium),8.68,10.905
18,2025-07-15,55-Inch TV,Electronics,18.33,7.66,126,76,4,10,True,Road,620,Mushroom Pkg (Mycelium),9.33,5.682
19,2025-08-12,Ceramic Vase,Home Decor,2.38,1.16,13,14,32,9,False,Road,681,Mushroom Pkg (Mycelium),2.75,0.81
20,2025-03-12,Glass Table,Furniture,19.13,4.32,90,60,4,10,False,Road,2011,Mushroom Pkg (Mycelium),9.65,19.235
21,2025-04-14,Winter Jacket,Clothing,1.52,3.62,49,41,9,2,True,Air,1297,Kraft Paper Mailer,1.85,11.738
